Nombre,Tipo,Dirección,Horario,Descripción
Museo del Arte,Museo,Calle Central 123,9:00-18:00,Una colección impresionante de arte contemporáneo
Parque Libertad,Parque,Avenida de la Paz s/n,6:00-22:00,Gran parque con senderos para caminar y áreas de picnic
Monumento a la Independencia,Monumento,Plaza Mayor,Abierto todo el día,Conmemora la independencia del país
Castillo Histórico,Museo,Calle del Castillo 456,10:00-17:00,Museo histórico en un antiguo castillo
Galería Nacional,Museo,Avenida de los Museos 789,10:00-18:00,Galería con obras de artistas nacionales
Jardín Botánico,Parque,Calle de las Flores 321,7:00-19:00,Jardín con diversas especies de plantas y flores
Teatro Central,Teatro,Plaza del Teatro 123,Horarios variados,Teatro principal con diversas obras y conciertos
Acuario Ciudad,Acuario,Avenida del Mar 555,10:00-20:00,Gran acuario con especies marinas de todo el mundo
Zoológico Metropolitano,Zoológico,Calle del Zoológico 999,8:00-18:00,Zoológico con animales de todos los continentes
Parque de Aventuras,Parque temático,Avenida de la Diversión 100,10:00-22:00,Parque de atracciones con montañas rusas
Museo de Ciencias,Museo,Calle de la Ciencia 500,9:00-17:00,Exposiciones interactivas de ciencia y tecnología
Biblioteca Principal,Biblioteca,Plaza de la Lectura 222,8:00-20:00,Biblioteca con una gran colección de libros y documentos
Catedral Histórica,Iglesia,Avenida de la Fe 777,Abierto todo el día,Importante catedral con arquitectura gótica
Estadio Deportivo,Estadio,Calle del Deporte 444,Horarios de eventos,Estadio para eventos deportivos y conciertos
Playa Central,Playa,Final de la Avenida del Sol,Abierto todo el día,Playa popular con arenas blancas y aguas cristalinas
Bosque Nacional,Parque natural,Carretera del Bosque km 10,6:00-20:00,Bosque protegido con senderos y fauna local
Mercado Tradicional,Mercado,Calle del Mercado 333,7:00-19:00,Mercado con productos locales y artesanías
Puente Emblemático,Puente,Avenida del Puente s/n,Abierto todo el día,Puente famoso con una vista panorámica de la ciudad
Museo de la Historia,Museo,Plaza de la Historia 111,9:00-18:00,Museo que narra la historia de la ciudad y el país
Faro Turístico,Faro,Final de la Carretera Costera,Abierto todo el día,Faro con vista al mar y área de picnic
